Who ^whp+who+++=Who
wants ^vbz++++=wants
hot ^jj+atrb+++=hot
cinnamon ^nn++++=cinnamon
rolls ^vbz++++=rolls?
? ^zz++++=EXTRAWORD
Didn ^np+++??+=Didn
t ^zz++++=t
even ^rb++++=even
crack ^jjb++++=crack
the ^ati++++=the
top ^jjb++++=top
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sure ^jj++++=sure
you ^pp2+pp2+++=you
guys ^nns++++=guys
will ^md+prd+++=will
figure ^vb++++=figure
something ^pn++++=something
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
ride ^nn++++=ride.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
t ^zz++++=t
believe ^vb+vprv+tht0++=believe
you ^pp2+pp2+++=you
made ^vbd+++xvbn+=made
out ^rp+pl+++=out
with ^in++++=with
Mandy ^np+++??+=Mandy
Chao ^np+++??+=Chao.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
about ^in++++=about
this ^dt+dem+++=this
this ^dt+dem+++=this
whole ^jj+atrb+++=whole
time ^nn++++=time?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t
think ^vb+vprv+++=think
to ^to++++=to
tell ^vbi++++=tell
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
s ^zz++++=s
leave ^vb++++=leave
Leonard ^np++++=Leonard
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
about ^in++++=about
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Hang ^nn++++=Hang
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
I ^pp1a+pp1+++=I
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
do ^vb++++=do
to ^to++++=to
make ^vbi++++=make
you ^pp2+pp2+++=you
trust ^nn++++=trust
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
you ^pp2+pp2+++=you
told ^vbd+vpub++xvbn+=told
Bernadette ^np+nom++??+=Bernadette
all ^abn++++=all
about ^in++++=about
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
screwing ^vbg+++xvbgx+=screwing
around ^in++++=around
with ^in++++=with
