Happy ^jj++++=Happy
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
s ^zz++++=s
hope ^nn++++=hope
or ^cc++++=or
a ^at++++=a
reason ^nn++++=reason
to ^to++++=to
live ^vbi++++=live.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
much ^rb++++=much
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
spend ^vbi++++=spend,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
have ^vb+hv+aux++=have
this ^dt+pdem+++=this
pretty ^rb++++=pretty
cool ^vb++++=cool
Aquaman ^np+++??+=Aquaman
statue ^nn++++=statue.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
s ^zz++++=s
a ^at++++=a
pretty ^rb++++=pretty
rare ^jj+atrb+++=rare
piece ^nn++++=piece.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
rather ^rb++++=rather
just ^rb+emph+++=just
sell ^vb++++=sell
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
real ^jj+atrb+++=real
collector ^nn++++=collector.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shouldn ^nn+++??+=shouldn
t ^zz++++=t
even ^rb++++=even
have ^vb+hv+aux++=have
mentioned ^vprf+++xvbnx+=mentioned
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
a ^at++++=a
Batman ^nn++++=Batman
squirt ^nn++++=squirt
gun ^nn++++=gun?
? ^zz++++=EXTRAWORD
All ^abn++++=All
right ^jj++++=right,
, ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
win ^vb++++=win.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
sure ^jj+atrb+++=sure
Leonard ^np++++=Leonard
is ^vbz+bez+aux++=is
gonna ^md+prd+++0=gonna
love ^vb++++=love
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
squirt ^nn++++=squirt
gun ^nn++++=gun,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s,
, ^zz++++=EXTRAWORD
uh ^uh++++=uh,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
pretty ^rb++++=pretty
rare ^jj++++=rare.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
Always ^rb++++=Always
happy ^jj++++=happy
to ^to+jcmp+++=to
help ^vbi++++=help
out ^rp+pl+++=out
with ^in++++=with
fun ^nn++++=fun
things ^nns++++=things
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
wasn ^nn+++??+=wasn
t ^zz++++=t
invited ^vwbn+++xvbn+=invited
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
part ^nn++++=part
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
Yeah ^uh++++=Yeah.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
you ^pp2+pp2+++=you
guys ^nns++++=guys
plan ^nn++++=plan
fun ^nn++++=fun
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
my ^pp$+pp1+++=my
name ^nn++++=name
even ^cs+sub+++=even
come ^vprf+++xvbn+=come
up ^rp++++=up,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
? ^zz++++=?
No ^at++++=No,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
didn ^nn+++??+=didn
t ^zz++++=t.
. ^zz++++=EXTRAWORD
So ^ql++++=So
no ^at++++=no
one ^cd1++++=one
s ^zz++++=s
gonna ^md+prd+++0=gonna
buy ^vb++++=buy
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+aux++=Is
make ^vb++++=make-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
really ^rb+emph+++=really
necessary ^jj++++=necessary?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
give ^vb++++=give
you ^pp2+pp2+++=you
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
finished ^vbd+++xvbn+=finished
writing ^vbg+++xvbg+=writing
your ^pp$+pp2+++=your
profile ^nn++++=profile
yet ^cc++++=yet?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
unobjectionable ^jj++++=unobjectionable.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
hear ^vb+vprv+tht0++=hear
it ^pp3+it+++=it
out ^rp+pl+++=out
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
just ^rb+emph+++=just
seems ^vbz+seem+++=seems
like ^in++++=like
I ^pp1a+pp1+++=I
m ^zz++++=m
being ^vwbg+beg++xvbg+=being
cocky ^jj++++=cocky.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
for ^in++++=for
your ^pp$+pp2+++=your
best ^jjt+atrb+++=best
feature ^nn++++=feature?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
Really ^rb+emph+++=Really?
? ^zz++++=EXTRAWORD
Like ^in++++=Like
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
of ^in++++=of
those ^dt+dem+++=those
things ^nns++++=things
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
helped ^vprf+++xvbnx+=helped
me ^pp1o+pp1+++=me
meet ^vb++++=meet
a ^at++++=a
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
have ^vb+hv+vrb++=have
one ^cd1++++=one
oddly ^rb++++=oddly
long ^rb++++=long
testicle ^nn+++??+=testicle.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
dating ^nvbg+++xvbg+=dating
profiles ^nns++++=profiles
are ^vb+ber+aux++=are
live ^vb++++=live
on ^in++++=on
the ^ati++++=the
Internet ^np+++??+=Internet.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
s ^zz++++=s
right ^jj++++=right,
, ^zz++++=EXTRAWORD
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
For ^in++++=For
all ^abn++++=all
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
confident ^jj++++=confident
and ^cc++++=and
fun ^nn++++=fun
to ^to++++=to
be ^vbi++vrb++=be
around ^rp++++=around.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
take ^vb++++=take
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Ooh ^uh++++=Ooh,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
one ^pn++++=one,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ladies ^nns++++=ladies
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
to ^in++++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
d ^zz++++=d
started ^vbd+++xvbn+=started
this ^dt+pdem+++=this
years ^vbz++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
be ^vb+be+aux++=be
divorced ^vpsv++agls+xvbnx+=divorced
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
times ^nns++++=times
by ^in++++=by
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
re ^in++++=re
not ^xnot++not++=not
running ^vbg+++xvbg+=running
away ^rp+pl+++=away
screaming ^nvbg+++xvbg+=screaming,
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
no ^at++++=no.
. ^zz++++=EXTRAWORD
Combined ^j+++xvbn+=Combined?
? ^zz++++=EXTRAWORD
Zero ^cd++++=Zero.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
ve ^nn+++??+=ve
ever ^rb++++=ever
felt ^vbd+vprv++xvbn+=felt
so ^ql+emph+++=so
rejected ^jj+++xvbn+=rejected.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
rescue ^nn++++=rescue
dog ^nn++++=dog
who ^whp+rel+subj++=who
ran ^vbd+++xvbn+=ran
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
pound ^nn++++=pound.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
make ^vb++++=make
them ^pp3o+pp3+++=them
look ^nn++++=look
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
good ^jj++++=good,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
m ^zz++++=m
glad ^jj++++=glad
you ^pp2+pp2+++=you
guys ^nns++++=guys
didn ^nn+++??+=didn
t ^zz++++=t
wait ^vb++++=wait
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
start ^vbi++++=start.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
seven ^cd++++=seven
and ^cc++++=and
it ^pp3+it+++=it
s ^zz++++=s,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
s ^zz++++=s
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
s ^zz++++=s
fine ^jj++++=fine.
. ^zz++++=EXTRAWORD
Hello ^rb+dspt+++=Hello.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
neither ^rb++neg++=neither.
. ^zz++++=EXTRAWORD
Don ^npt++++=Don
t ^zz++++=t
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
see ^vb+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Living ^jj+++xvbg+=Living
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
okay ^rb+dspt+++=okay
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
guys ^nns++++=guys.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
just ^rb+emph+++=just
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
anyone ^pn++++=anyone
s ^zz++++=s
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Cause ^nn++++=Cause
Leonard ^np++++=Leonard
was ^vbd+bedz+vrb++=was
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ll ^nn+++??+=ll
stop ^vb++++=stop
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
get ^vb++++=get
my ^pp$+pp1+++=my
kiss ^vb++++=kiss.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
mother ^nn++++=mother
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
her ^pp$+pp3+++=her
little ^ap++++=little
possum ^nn+++??+=possum.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
Fine ^jj++++=Fine.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
that ^dt+dem+++=that
old ^jj+atrb+++=old
lady ^nn++++=lady
with ^in++++=with
the ^ati++++=the
walker ^nn++++=walker?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
ll ^nn+++??+=ll
find ^vb+vprv+tht0++=find
somebody ^pn++++=somebody
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
that ^dt+dem+++=that
lady ^npt++++=lady
in ^in++++=in
the ^ati++++=the
sweat ^nn++++=sweat
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
speed ^nn++++=speed-walking?
- ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
could ^md+pos+++=could
go ^vb++++=go
over ^rb+phrv+++=over
to ^in+ppvb+++=to
that ^dt+dem+++=that
department ^nn+nom+++=department
store ^nn++++=store,
, ^zz++++=EXTRAWORD
practice ^nn++++=practice
on ^in++++=on
the ^ati++++=the
mannequins ^nns+++??+=mannequins.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
about ^in++++=about
those ^dt+dem+++=those
guys ^nns++++=guys
on ^in++++=on
that ^dt+dem+++=that
bench ^nn++++=bench
over ^in++++=over
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
look ^vb++++=look
pathetic ^jj++++=pathetic.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bet ^vbd+vpub+tht0+xvbnx+=bet
we ^pp1a+pp1+++=we
could ^md+pos+++=could
talk ^vb++++=talk
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
yeah ^uh++++=yeah.
. ^zz++++=EXTRAWORD
Smooth ^jj++++=Smooth.
. ^zz++++=EXTRAWORD
Hey ^uh++++=Hey.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
pretty ^rb++++=pretty
much ^ap++++=much
any ^dti++++=any
customer ^nn+nom+++=customer
does ^vbz+doz+vrb++=does.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
